depth,latitude,longitude,time,thetao
0.494025,20,107,14/03/2008,20.00241
0.494025,20,107,15/03/2008,20.172338
0.494025,20,107,16/03/2008,20.44554
0.494025,20,107,17/03/2008,20.674063
0.494025,20,107,18/03/2008,20.845455
0.494025,20,107,19/03/2008,20.964842
0.494025,20,107,20/03/2008,21.229988
0.494025,20,107,21/03/2008,21.224129
0.494025,20,107,22/03/2008,21.193365
0.494025,20,107,23/03/2008,20.545885
0.494025,20,107,24/03/2008,20.639637
0.494025,20,107,25/03/2008,20.956785
0.494025,20,107,26/03/2008,20.592028
0.494025,20,107,27/03/2008,21.10767
0.494025,20,107,28/03/2008,21.069582
0.494025,20,107,29/03/2008,21.282724
0.494025,20,107,30/03/2008,21.661398
0.494025,20,107,31/03/2008,21.734642
0.494025,20,107,1/04/2008,21.7969
0.494025,20,107,2/04/2008,21.772728
0.494025,20,107,3/04/2008,22.087679
0.494025,20,107,4/04/2008,22.520554
0.494025,20,107,5/04/2008,22.833307
0.494025,20,107,6/04/2008,23.1695
0.494025,20,107,7/04/2008,22.957823
0.494025,20,107,8/04/2008,22.921202
0.494025,20,107,9/04/2008,23.179022
0.494025,20,107,10/04/2008,23.481522
0.494025,20,107,11/04/2008,23.541582
0.494025,20,107,12/04/2008,23.715172
0.494025,20,107,13/04/2008,24.058687
0.494025,20,107,14/04/2008,24.460798
0.494025,20,107,15/04/2008,24.591175
0.494025,20,107,16/04/2008,24.824823
0.494025,20,107,17/04/2008,24.873898
0.494025,20,107,18/04/2008,24.969849
0.494025,20,107,19/04/2008,25.529434
0.494025,20,107,20/04/2008,25.50087
0.494025,20,107,21/04/2008,25.815088
0.494025,20,107,22/04/2008,26.162998
0.494025,20,107,23/04/2008,25.60854
0.494025,20,107,24/04/2008,25.089237
0.494025,20,107,25/04/2008,24.914915
0.494025,20,107,26/04/2008,24.925901
0.494025,20,107,27/04/2008,25.2826
0.494025,20,107,28/04/2008,25.0094
0.494025,20,107,29/04/2008,25.346325
0.494025,20,107,30/04/2008,25.179327
0.494025,20,107,1/05/2008,25.366833
0.494025,20,107,2/05/2008,25.447401
0.494025,20,107,3/05/2008,25.68691
0.494025,20,107,4/05/2008,26.16373
0.494025,20,107,5/05/2008,26.442793
0.494025,20,107,6/05/2008,26.677908
0.494025,20,107,7/05/2008,26.791437
0.494025,20,107,8/05/2008,26.959166
0.494025,20,107,9/05/2008,27.444777
0.494025,20,107,10/05/2008,26.269936
0.494025,20,107,11/05/2008,25.895657
0.494025,20,107,12/05/2008,25.811426
0.494025,20,107,13/05/2008,25.741844
0.494025,20,107,14/05/2008,25.664938
